Repo,Message Type,Message
ts-source/slaying_castorite,notice,PR already exists
ts-source/ungerminated_dardanarius,notice,PR already exists
ts-source/misthrows_comediette,success,PR created: https://github.com/ts-source/misthrows_comediette/pull/2
ts-source/dirty-beast,success,PR created: https://github.com/ts-source/dirty-beast/pull/1
ts-source/eviscerate_nonslipping,notice,PR already exists
ts-source/cosmogonists_disobeying,success,PR created: https://github.com/ts-source/cosmogonists_disobeying/pull/1
ts-source/irrefragability_mention,notice,PR already exists
ts-source/cyrillic_pyrotechnical,notice,PR already exists
ts-source/angaries_pinpoints,notice,PR already exists
ts-source/arabianize_preexcluding,notice,PR already exists
ts-source/bedsonia_proportions,notice,PR already exists
ts-source/pickwickian_capouch,notice,PR already exists
ts-source/communis_briquettes,notice,PR already exists
ts-source/indorse_enacts,notice,PR already exists
ts-source/clewgarnet_ridders,notice,PR already exists
ts-source/medlar_forfare,notice,PR already exists
ts-source/sunderance_ouphs,notice,PR already exists
ts-source/mitu_unspatial,success,PR created: https://github.com/ts-source/mitu_unspatial/pull/1
ts-source/dispermous_cumbrian,success,PR created: https://github.com/ts-source/dispermous_cumbrian/pull/1
